No.;Time;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter;;;
1;0;;0;1,159052;1,159052;;1,158976;-0,274178;-1,433154;;;
2;1,159052;;1,159052;1,159128;7,60E-05;;-0,274178;0,273524;0,547702;;;
3;1,159128;;1,159128;1,433382;0,274254;;0,273524;-0,000168;-0,273692;;;
4;1,433382;;1,433382;1,434112;0,00073;;-0,000168;-0,175835;-0,175667;;;
5;1,434112;;1,434112;1,43501;0,000898;;-0,175835;0,137439;0,313274;;Total Delay;1,159347
6;1,43501;;1,43501;1,611743;0,176733;;0,137439;0,038366;-0,099073;;Rata-rata delay;0,000107606
7;1,611743;;1,611743;1,651037;0,039294;;0,038366;0,000418;-0,037948;;;
8;1,651037;;1,651037;1,651965;0,000928;;0,000418;0,00051;9,20E-05;;;
9;1,651965;;1,651965;1,652475;0,00051;;0,00051;-0,000228;-0,000738;;Total Jitter;-1,435037
10;1,652475;;1,652475;1,652475;0;;-0,000228;-0,005577;-0,005349;;Rata-rata Jitter;-0,000133194
11;1,652475;;1,652475;1,652703;0,000228;;-0,005577;0,00555;0,011127;;;
12;1,652703;;1,652703;1,658508;0,005805;;0,00555;-0,047678;-0,053228;;;
13;1,658508;;1,658508;1,658763;0,000255;;-0,047678;0,047532;0,09521;;;
14;1,658763;;1,658763;1,706696;0,047933;;0,047532;-0,048289;-0,095821;;;
15;1,706696;;1,706696;1,707097;0,000401;;-0,048289;0,04869;0,096979;;;
16;1,707097;;1,707097;1,755787;0,04869;;0,04869;-0,000615;-0,049305;;;
17;1,755787;;1,755787;1,755787;0;;-0,000615;0,000349;0,000964;;;
18;1,755787;;1,755787;1,756402;0,000615;;0,000349;-0,05496;-0,055309;;;
19;1,756402;;1,756402;1,756668;0,000266;;-0,05496;-1,103427;-1,048467;;;
20;1,756668;;1,756668;1,811894;0,055226;;-1,103427;1,103228;2,206655;;;
21;1,811894;;1,811894;2,970547;1,158653;;1,103228;0,046678;-1,05655;;;
22;2,970547;;2,970547;3,025972;0,055425;;0,046678;0,007876;-0,038802;;;
23;3,025972;;3,025972;3,034719;0,008747;;0,007876;0,000416;-0,00746;;;
24;3,034719;;3,034719;3,03559;0,000871;;0,000416;8,10E-05;-0,000335;;;
25;3,03559;;3,03559;3,036045;0,000455;;8,10E-05;-0,00045;-0,000531;;;
26;3,036045;;3,036045;3,036419;0,000374;;-0,00045;0,000165;0,000615;;;
27;3,036419;;3,036419;3,037243;0,000824;;0,000165;-0,00047;-0,000635;;;
28;3,037243;;3,037243;3,037902;0,000659;;-0,00047;0,000823;0,001293;;;
29;3,037902;;3,037902;3,039031;0,001129;;0,000823;-0,001146;-0,001969;;;
